date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:17	304/304	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Aug%202020%2010:10:20%20GMT	http://www.nurseitmukaytegin.com/robots.txt		(from )
11:10:19	92171/92171	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2010:10:19%20GMT	http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html	(from )
11:10:20	2619/2619	---M--	200	added ('OK')	image/png	etag:%225f146779-a3b%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/favicon.png	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/favicon.png	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:20	4025/4025	---M--	200	added ('OK')	image/png	etag:%225f146779-fb9%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/apple-touch-icon-57x57.png	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:20	4740/4740	---M--	200	added ('OK')	image/png	etag:%225f146779-1284%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/apple-touch-icon-72x72.png	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:20	7230/7230	---M--	200	added ('OK')	image/png	etag:%225f146779-1c3e%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/apple-touch-icon-114x114.png	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:23	100581/100581	---M--	200	added ('OK')	text/css	etag:%225f146779-188e5%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/css/plugins.css	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/css/plugins.css	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:26	10910/10910	---M--	200	added ('OK')	image/png	etag:%225f146785-2a9e%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/logo/logo-white.png	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/logo/logo-white.png	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:26	296085/296085	---M--	200	added ('OK')	text/css	etag:%225f1f1bec-48495%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/css/style.css	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/css/style.css	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:30	53172/53172	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2010:10:26%20GMT	http://www.nurseitmukaytegin.com/envato-templates/umaya/index.html	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/index.html	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:30	11278/11278	---M--	200	added ('OK')	image/png	etag:%225f146785-2c0e%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/logo/logo-black.png	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/logo/logo-black.png	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:54	159100/159100	---M--	200	added ('OK')	image/jpeg	etag:%225f146797-26d7c%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/projects/black-bike/josh-nuttall-pIwu5XNvXpk-unsplash.jpg	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/projects/black-bike/josh-nuttall-pIwu5XNvXpk-unsplash.jpg	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:56	157061/157061	---M--	200	added ('OK')	image/jpeg	etag:%225f14679e-26585%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/projects/furniture/goashape-RvyJGaoaWrs-unsplash.jpg	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/projects/furniture/goashape-RvyJGaoaWrs-unsplash.jpg	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:10:57	68932/68932	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2010:10:58%20GMT	http://www.nurseitmukaytegin.com/envato-templates/umaya/home_interior-design.html	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/home_interior-design.html	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:11:02	73317/73317	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2010:11:01%20GMT	http://www.nurseitmukaytegin.com/envato-templates/umaya/home_freelancer.html	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/home_freelancer.html	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:11:04	90304/90304	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2010:11:00%20GMT	http://www.nurseitmukaytegin.com/envato-templates/umaya/home_corporate.html	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/home_corporate.html	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:11:07	203953/203953	---M--	200	added ('OK')	image/jpeg	etag:%225f1467a5-31cb1%22	http://www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/projects/speakers/revolt-BMest61rcqs-unsplash.jpg	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/assets/images/projects/speakers/revolt-BMest61rcqs-unsplash.jpg	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
11:11:07	65033/65033	---MC-	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2010:11:05%20GMT	http://www.nurseitmukaytegin.com/envato-templates/umaya/home_musician.html	C:/My%20Web%20Sites/gammy/www.nurseitmukaytegin.com/envato-templates/umaya/home_musician.html	(from http://www.nurseitmukaytegin.com/envato-templates/umaya/home_creative-agency.html)
